date,year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
15-Oct-2021,2021,Australia,swimming,M,34,no,2021-10-15 00:00:00,15-Oct-2021,10,Autumn
04-Oct-2021,2021,USA,surfing,M,25,no,2021-10-04 00:00:00,04-Oct-2021,10,Autumn
03-Oct-2021,2021,USA,swimming,M,15,no,2021-10-03 00:00:00,03-Oct-2021,10,Autumn
03-Oct-2021,2021,USA,surfing,M,38,no,2021-10-03 00:00:00,03-Oct-2021,10,Autumn
10-Sep-2021,2021,Egypt,swimming,M,15,unknown,2021-09-10 00:00:00,10-Sep-2021,9,Autumn
09-Sep-2021,2021,USA,surfing,M,6,no,2021-09-09 00:00:00,09-Sep-2021,9,Autumn
05-Sep-2021,2021,Australia,surfing,M,31,yes,2021-09-05 00:00:00,05-Sep-2021,9,Autumn
03-Sep-2021,2021,USA,fishing,M,64,no,2021-09-03 00:00:00,03-Sep-2021,9,Autumn
28-Aug-2021,2021,USA,boogie boarding,M,15,no,2021-08-28 00:00:00,28-Aug-2021,8,Summer
21-Aug-2021,2021,USA,surfing,M,41,no,2021-08-21 00:00:00,21-Aug-2021,8,Summer
07-Aug-2021,2021,USA,surfing,M,35,no,2021-08-07 00:00:00,07-Aug-2021,8,Summer
07-Aug-2021,2021,USA,snorkeling,M,15,no,2021-08-07 00:00:00,07-Aug-2021,8,Summer
02-Aug-2021,2021,USA,swimming,F,12,no,2021-08-02 00:00:00,02-Aug-2021,8,Summer
30-Jul-2021,2021,USA,fishing,M,47,no,2021-07-30 00:00:00,30-Jul-2021,7,Summer
27-Jul-2021,2021,USA,standing,M,15,no,2021-07-27 00:00:00,27-Jul-2021,7,Summer
27-Jul-2021,2021,USA,surfing,M,58,no,2021-07-27 00:00:00,27-Jul-2021,7,Summer
27-Jul-2021,2021,Australia,fishing,M,34,no,2021-07-27 00:00:00,27-Jul-2021,7,Summer
26-Jul-2021,2021,USA,swimming,M,15,no,2021-07-26 00:00:00,26-Jul-2021,7,Summer
21-Jul-2021,2021,USA,surfing,F,15,no,2021-07-21 00:00:00,21-Jul-2021,7,Summer
19-Jul-2021,2021,Australia,surfing,M,15,no,2021-07-19 00:00:00,19-Jul-2021,7,Summer
15-Jul-2021,2021,USA,boogie boarding,M,11,no,2021-07-15 00:00:00,15-Jul-2021,7,Summer
14-Jul-2021,2021,South Africa,surfing,M,38,no,2021-07-14 00:00:00,14-Jul-2021,7,Summer
10-Jul-2021,2021,USA,fishing,M,36,yes,2021-07-10 00:00:00,10-Jul-2021,7,Summer
10-Jul-2021,2021,Brazil,wading,M,51,yes,2021-07-10 00:00:00,10-Jul-2021,7,Summer
